[WESI][12][16-07-2023 3.58.00 PM][57480632.2037][SMDT]Task.Delay(236).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.58.00 PM][57480702.0166][SMDT]Task.Delay(69).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][12][16-07-2023 3.58.00 PM][57480834.6624][SMDT]Task.Delay(133).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.58.01 PM][57481148.8236][SMDT]Task.Delay(313).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][12][16-07-2023 3.58.01 PM][57481269.4994][SMDT]Task.Delay(117).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][9][16-07-2023 3.58.01 PM][57481349.2877][SMDT]Task.Delay(82).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][9][16-07-2023 3.58.02 PM][57482435.3841][SMDT]Task.Delay(1087).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][10][16-07-2023 3.58.02 PM][57482529.1346][SMDT]Task.Delay(93).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][9][16-07-2023 3.58.02 PM][57482731.5923][SMDT]Task.Delay(201).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][6][16-07-2023 3.58.03 PM][57483546.4142][SMDT]Task.Delay(813).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][6][16-07-2023 3.58.03 PM][57483554.3934][SMDT]Task.Delay(11).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.58.03 PM][57483702.9962][SMDT]Task.Delay(145).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
[WESI][8][16-07-2023 3.58.03 PM][57483885.5077][SMDT]Task.Delay(182).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.58.03 PM][57483951.3314][SMDT]Task.Delay(65).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.58.03 PM][57483958.313][SMDT]Task.Delay(7).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][8][16-07-2023 3.58.04 PM][57484049.0703][SMDT]Task.Delay(91).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][8][16-07-2023 3.58.04 PM][57484056.051][SMDT]Task.Delay(8).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][10][16-07-2023 3.58.04 PM][57484138.8307][SMDT]Task.Delay(79).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][8][16-07-2023 3.58.04 PM][57484152.7937][SMDT]Task.Delay(15).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.58.04 PM][57484267.4864][SMDT]Task.Delay(111).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][8][16-07-2023 3.58.04 PM][57484652.4579][SMDT]Task.Delay(385).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.58.04 PM][57484661.4342][SMDT]Task.Delay(11).Wait(); manager.DecideStatus(SensorCode.S4_ON_FWD);
[WESI][8][16-07-2023 3.58.04 PM][57484716.288][SMDT]Task.Delay(50).Wait(); manager.DecideStatus(SensorCode.S2_OFF_FWD);
[WESI][10][16-07-2023 3.58.04 PM][57484968.6139][SMDT]Task.Delay(252).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.58.04 PM][57484976.5994][SMDT]Task.Delay(9).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.58.04 PM][57484980.5824][SMDT]Task.Delay(5).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][8][16-07-2023 3.58.05 PM][57485032.4413][SMDT]Task.Delay(49).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][6][16-07-2023 3.58.05 PM][57485844.2743][SMDT]Task.Delay(812).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][10][16-07-2023 3.58.05 PM][57485876.1876][SMDT]Task.Delay(20).Wait(); manager.DecideStatus(SensorCode.S3_OFF_FWD);
[WESI][10][16-07-2023 3.58.05 PM][57485897.1303][SMDT]Task.Delay(33).Wait(); manager.DecideStatus(SensorCode.S5_ON_FWD);
[WESI][10][16-07-2023 3.58.06 PM][57486727.9118][SMDT]Task.Delay(825).Wait(); manager.DecideStatus(SensorCode.S4_OFF_FWD);
[WESI][8][16-07-2023 3.58.07 PM][57487112.8821][SMDT]Task.Delay(385).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.58.08 PM][57488422.3833][SMDT]Task.Delay(1308).Wait(); manager.DecideStatus(SensorCode.S2_ON_FWD);
[WESI][9][16-07-2023 3.58.09 PM][57489242.192][SMDT]Task.Delay(819).Wait(); manager.DecideStatus(SensorCode.S5_OFF_FWD);
[WESI][10][16-07-2023 3.58.09 PM][57489396.7816][SMDT]Task.Delay(154).Wait(); manager.DecideStatus(SensorCode.S1_OFF_FWD);
[WESI][10][16-07-2023 3.58.09 PM][57489404.7571][SMDT]Task.Delay(11).Wait(); manager.DecideStatus(SensorCode.S1_ON_FWD);
[WESI][10][16-07-2023 3.58.09 PM][57489428.6951][SMDT]Task.Delay(18).Wait(); manager.DecideStatus(SensorCode.S3_ON_FWD);
